縣市,老年比率_2025%,老年比率_2030預估%,老年人口_2025,老年人口_2030預估,現有核定床數,2030維持中位服務所需床數,2030床位缺口
臺北市,23.95,28.74,596138,697671,5401,9777,4376
臺中市,17.29,20.91,508957,599591,4077,8403,4326
新北市,19.88,24.43,822084,986811,11076,13830,2754
桃園市,16.56,20.19,402852,475638,3982,6666,2684
高雄市,20.77,24.86,573647,673944,8283,9445,1162
苗栗縣,20.13,23.09,109099,122383,1051,1715,664
新竹市,15.95,18.76,75023,85520,617,1198,581
嘉義縣,23.85,27.26,115525,128347,1414,1798,384
彰化縣,20.14,23.52,250347,283385,3681,3971,290
南投縣,22.46,26.21,108137,122476,1491,1716,225
新竹縣,14.84,16.66,91779,99661,1218,1396,178
金門縣,19.17,23.59,27783,32563,295,456,161
澎湖縣,20.46,23.63,22905,25210,206,353,147
雲林縣,21.68,24.27,143154,157286,2063,2204,141
臺南市,20.32,24.05,385712,444725,6190,6232,42
連江縣,16.64,20.45,2388,2795,34,39,5
臺東縣,20.78,24.07,44230,50062,824,701,-122
花蓮縣,21.37,25.19,68253,78437,1271,1099,-171
基隆市,22.16,26.77,81599,96044,1821,1346,-474
屏東縣,21.71,25.4,173004,198004,3326,2775,-550
嘉義市,19.84,23.42,52931,61248,1468,858,-609
宜蘭縣,20.62,23.93,94804,107360,2436,1504,-931
