縣市,最後實際年,最後實際值,2030_線性,2030_CAGR,2030_移動平均
嘉義縣,2025,291.7,354.3,388.3,357.2
金門縣,2025,255.6,322.8,397.7,350.1
基隆市,2025,240.2,297.2,340.4,308.7
南投縣,2025,224.6,271.3,295.1,274.5
屏東縣,2025,218.7,265.4,285.5,263.7
澎湖縣,2025,223.7,262.8,295.3,281.6
臺北市,2025,202.1,249.0,280.8,260.3
雲林縣,2025,206.8,247.2,256.4,240.6
花蓮縣,2025,200.5,241.4,269.3,251.9
高雄市,2025,192.1,236.2,263.6,241.5
臺東縣,2025,194.7,233.2,253.6,236.6
新北市,2025,185.5,232.5,274.3,242.9
連江縣,2025,180.2,226.3,281.6,249.1
宜蘭縣,2025,189.7,225.5,245.4,231.4
臺南市,2025,185.0,224.3,247.2,231.5
苗栗縣,2025,179.6,218.9,237.4,217.1
彰化縣,2025,178.4,214.7,240.3,225.0
嘉義市,2025,164.5,202.9,224.4,205.5
臺中市,2025,136.4,168.6,192.0,175.5
桃園市,2025,127.3,157.5,182.5,166.6
新竹市,2025,106.6,127.0,142.6,135.8
新竹縣,2025,101.9,115.5,125.6,123.3
