縣市,長照推估需求人數,長照服務使用人數,長照服務涵蓋率%,未滿足需求比例%
新北市,146627,117151,79.9,20.1
臺北市,113710,66070,58.1,41.9
桃園市,70889,55118,77.75,22.25
臺中市,92336,82400,89.24,10.76
臺南市,72452,69278,95.62,4.38
高雄市,107980,95426,88.37,11.63
宜蘭縣,18321,18393,100.39,-0.39
新竹縣,17895,14104,78.82,21.18
苗栗縣,21724,17015,78.32,21.68
彰化縣,49093,45264,92.2,7.8
南投縣,21345,22829,106.95,-6.95
雲林縣,29663,27051,91.19,8.81
嘉義縣,23277,26836,115.29,-15.29
屏東縣,34461,36668,106.4,-6.4
臺東縣,9446,10533,111.51,-11.51
花蓮縣,13950,15257,109.37,-9.37
澎湖縣,4207,3452,82.05,17.95
基隆市,15102,10580,70.06,29.94
新竹市,14186,10859,76.55,23.45
嘉義市,10137,10546,104.03,-4.03
金門縣,4904,2121,43.25,56.75
連江縣,412,138,33.5,66.5
