縣市,A整合中心_實際,A達成率%,B特約單位_實際,B達成率%,C巷弄站_實際,C達成率%
新北市,111,258.0,1297,1582.0,479,143.0
臺北市,70,206.0,635,870.0,293,166.0
桃園市,78,300.0,679,1151.0,418,247.0
臺中市,106,265.0,1415,1747.0,498,250.0
臺南市,72,176.0,1160,1841.0,269,112.0
高雄市,76,146.0,1523,1655.0,579,202.0
宜蘭縣,37,285.0,297,1142.0,180,243.0
新竹縣,18,113.0,168,579.0,137,228.0
苗栗縣,39,195.0,206,589.0,160,188.0
彰化縣,17,61.0,458,1117.0,313,168.0
南投縣,22,147.0,296,925.0,183,220.0
雲林縣,41,195.0,371,1124.0,218,176.0
嘉義縣,41,228.0,305,1220.0,308,283.0
屏東縣,37,106.0,478,1112.0,322,224.0
臺東縣,11,61.0,158,632.0,226,514.0
花蓮縣,18,129.0,178,659.0,192,343.0
澎湖縣,8,100.0,68,486.0,40,133.0
基隆市,9,129.0,128,853.0,78,173.0
新竹市,12,150.0,122,763.0,55,138.0
嘉義市,9,300.0,106,1325.0,56,200.0
金門縣,2,40.0,38,760.0,23,256.0
連江縣,0,0.0,12,240.0,3,50.0
