編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,立案日期,核定床數,備註
1,私立,財團法人臺灣省私立嘉義博愛仁愛之家,吳振明,東區,嘉義市東區太平里林森東路235號,05-2762306,"安養
養護",66.08,256,
2,私立,財團法人台灣省私立嘉義仁愛之家,張南薰,東區,嘉義市東區芳草里草地尾8號,05-2250065,養護,65.05,173,
3,私立,財團法人台灣省私立嘉義濟美仁愛之家,邱振城,東區,嘉義市東區圳頭里3鄰盧義路361號,05-2766130 ,"安養
養護",60.01,197,
4,私立,嘉義市私立博仁老人養護中心,陳志仁,西區,嘉義市西區保安里12鄰北社尾路49號,05-2372088,養護,88.05,49,
5,私立,嘉義市私立國泰長期照護中心,簡怡光,西區,嘉義市西區港坪里2鄰育人路329號,05-2363963,長照,107.08,49,
6,私立,嘉義市私立誠泰老人長期照顧中心〈養護型〉,游啟揚,西區,嘉義市西區劉厝里16鄰玉山路1188號,05-2366317,養護,108.06,49,
7,私立,財團法人嘉義市私立瑞泰老人長期照護中心,陳蔡美惠,西區,嘉義市西區劉厝里15鄰玉山路669號,05-2352600,長照,90.09,90,
8,私立,嘉義市私立安心老人長期照顧中心（長期照護型）,胡景文,西區,嘉義市西區湖內里25鄰南京路279號,05-2355860,長照,104.05,45,
9,私立,嘉義市私立宏仁老人養護中心,蕭奕夫,東區,嘉義市東區荖藤里3鄰荖藤宅28之1號,05-2318756,養護,93.07,41,
10,私立,嘉義市私立展順老人長期照護中心,張咸宜,東區,嘉義市東區頂庄里5鄰義教街585巷33號,05-2783023,長照,94.06,40,
11,私立,嘉義市私立新仁友老人長期照護中心（養護型）,陳郁雯,東區,嘉義市東區北門里7鄰民權路332巷38號,05-2786603,養護,96.10.,49,
12,私立,嘉義市私立金蓮園老人長期照顧中心（養護型）,郭美君,東區,嘉義市東區後庄里2鄰林森東路875號,05-2741616,養護,99.04,49,
13,私立,嘉義市私立梅香園老人長期照顧中心（養護型）,郭皇村,東區,嘉義市東區後庄里2鄰林森東路877號,05-2741717,養護,99.05,47,
14,私立,財團法人嘉義市私立保康社會福利慈善事業基金會附設嘉義市私立保康老人長期照顧中心（長照型）,姚維仁,東區,嘉義市東區後湖里17鄰保順路121號,05-2715565,"失智
長照",100.02,196,
15,私立,嘉義市私立仁友老人長期照顧中心（養護型）,陳郁雯,東區,嘉義市東區社口里1鄰文化路254-1號,05-2786604,養護,101.01,49,
16,私立,嘉義市私立鴻海老人長期照顧中心（養護型）,趙羅慧淑,東區,嘉義市東區荖藤里荖藤宅87號,05-2318518,養護,104.1,49,
,,,,,,,,,,
,,,,,,,,,,
停業,,,,,,,,,,
17,私立,嘉義市私立慈保老人養護中心,賀守芬,東區,嘉義市東區長竹里6鄰大雅路二段234巷8、10、12、14、16、18號,05-2769992,養護,88.07,40,停業一年110.5.27-111.5.26
